Unnamed: 0,Start,End,Speaker,Text
124,0:39:42,0:39:52,SPEAKER 2," Right.  OK.  So Barclays put out a note.  They said they were lowering the estimates for Berkshire,  for the EPS.  Do you read that stuff? "
125,0:39:53,0:40:48,BUFFETT," No.  Well, I mean, I may read it accidentally,  but I don't seek it out to read.  I'll put it that way.  But it just doesn't make any difference  at all.  I mean, if I spent time reading that,  I wouldn't have a time to read 10Ks.  And  we're not going to do anything different.  I don't know what we're going to earn.  As I put in the annual report,  and I really think this is unique.  I mean, we do not  prepare financial statements monthly for Berkshire.  And  there's just no other company would do it.  There's no sense doing it.  I know where the money is.  I know how the companies are doing generally.  But what difference does it make?  Because I'm not going to try and hit any number for the quarter by,  you know, having a sale on insurance or doing something even worse.  So it,  and Charlie, I mean, he knows where we stand.  And we know what businesses are doing well,  which aren't.  And we certainly know where the money is. "
126,0:40:48,0:41:01,SPEAKER 2," Another one, UBS survey of Berkshire investors says the five most important things to them are succession,  investment performance, M&A opportunity, share repurchase,  insurance margins.  Do you read that? "
127,0:41:02,0:41:06,BUFFETT," No, but I don't disagree.  I mean, I'm glad that somebody understands this. "
128,0:41:07,0:41:08,SPEAKER 2, Your own investors.  Yeah.
129,0:41:09,0:43:23,BUFFETT," Well, that's important.  You know, 54.  Well, if you go back to when I started my partnership in 1956 that  Berkshire came out of,  there were seven people sitting there at a table having dinner,  relatives primarily.  And I said, here's the partnership agreement.  It's done under Nebraska law.  It's four or five pages.  You don't need to read it.  But I said, here's a little half page,  what I call the ground rules.  And I want you to read these.  And if you feel okay about that,  about the interaction, what the expectations are and all of that sort of thing,  then we'll join forces.  And if you don't,  it's fine.  Other people have, you know, but we don't, we shouldn't be partners.  I mean,  you know, if I'm going to have a partnership with somebody,  I want it to be compatible.  It is, you know, and when you have a  public company, you can't control it.  I can't control who comes in.  I can't control some guy that comes in and thinks we were going to pay big dividends  or split the stock or something like that.  So by my actions and my communications and everything,  I want to attract the people that  from the public market that I want,  and I want to keep the others away.  Costco was built,  Sol Price, who started the Price Club and that thing.  He sat down and figured out the customer he didn't want.  And he set up a system that would keep away the customer he didn't want.  Who did he not want?  He didn't want somebody buying a quart of milk with somebody behind him with a basket of $200 worth of goods waiting for that.  So he put in a membership fee,  and by putting in a membership fee,  he killed all the drop-in business,  the business that belonged to the 7-Eleven.  We want Berkshire to keep out people who have expectations about us that are different than ours.  I mean,  good for them, and I hope they find somebody they fit.  But if you're going to run a church,  you want your seats to be filled by people that are  generally want to listen to your form of religion.  And you don't want it to change every week and say,  gee, I need a new group,  and I'll go out and talk to a bunch of investors and get them to come to my church this Sunday.  Because there's only so many seats in the church.  There's a million six hundred and forty-five thousand or so  A-equivalent shares, and those are the seats.  And I want them occupied by people that are on the same page I am. "
130,0:43:23,0:43:34,SPEAKER 2," The church of Berkshire.  Seems like you've got a big weighting in financials,  and of course you finally invested in Jamie Dimon's company.  Why banks right now? "
131,0:43:35,0:43:59,BUFFETT," They're businesses I understand,  and I like the price at which they're selling relative  to their future prospects.  I think ten years from now that they'll be worth more money,  and I feel there's a very high probability I'm right.  And I don't think they'll turn out to be the best investments at all.  You know, the whole panoply of things you could do,  but I'm pretty sure that they won't disappoint me. "
132,0:44:00,0:44:03,SPEAKER 2, Is climate change changing your insurance businesses?
133,0:44:03,0:44:05,BUFFETT," No, it doesn't change the insurance business. "
134,0:44:05,0:44:08,SPEAKER 2, Does it change  modeling or something in the business?
135,0:44:08,0:45:42,BUFFETT," No, it would change our insurance business if we were writing 20-year policies.  I mean, if there was something that changed life mortality adversely to the interests  of a life insurance company,  you're stuck with a policy for 20 years if you write the  life insurance policy, and you'll keep paying your premiums if it's adverse to me.  That's what's happened in long-term care insurance,  for example.  But when you write a policy for  one year at a time,  you see what the developments are.  And if,  you know,  cars, for example,  are much safer to drive than they used to be.  There used to be 15 deaths per 100 million miles driven.  Now there's a little over one.  On the other hand,  they've become much more expensive to fix.  I mean, that little side view mirror,  which used to cost 10 bucks,  you know, now a thousand bucks or something like that.  So you have things that are changing in terms of,  if you're writing collision insurance,  you've got to allow for the fact that the windshield,  the bumper, all kinds of things,  or the side view mirror and all that are way more expensive.  But if you're writing liability,  you know that people aren't going to die as often.  So climate change is like, climate's been changing.  But the  truth is that you now can buy really big catastrophe limits  cheaper than you could buy them in 2005 or thereabouts,  allowing for changes in the dollar and concentration of population. "
136,0:45:42,0:45:42,SPEAKER 2," So,  so far, rates have come down.  That's the reason we've gotten out of  the cat business to a great degree.  We were a very big writer of cat business  10 or 12 years ago.  We aren't out of the cat business because of climate change.  We're out because the prices aren't right.  And the world will change.  And that's got very serious consequences.  But it won't change that much from year to year.  That,  you know, we've done very well during a period of  some climate change.  You've talked about technology advancing faster than our ability to understand it.  And I'm wondering if  social media and Facebook and Google and  Russian trolls coming in,  is that maybe an example of that?  Are you still worried about that problem?   Well, I think cyber poses real risks to humanity.  Forgetting about the problem of even misinformation.  I'm just thinking of,  you know, we have railroads running over 22 ,000 miles of track and some of them are carrying ammonia and some of them are carrying,  you know, chlorine and things.  We have to carry them.  We have no choice about that.  We're required by law to carry them.  And, you know, I would rather do that in a non-cyber world than a cyber world.  There are all kinds of things.  The problem about something like cyber is that it's moving and it's just unpredictable  whether you'll get some crazy guy like,  stuck the anthrax in the,  you know, what they can do becomes magnified.  I mean, when you saw what,  you know, 19 guys did, you know,  on 9-11.  I mean,  tools in the hands or potentially in the hands  of either crazy individuals,  crazy groups, or even a few crazy governments, you know, are really something.  And we don't necessarily know what  all the tools they have are.  And that is moving all the time.  I mean, you know,  again, Einstein said, he said, I know not with what  weapons World War III will be fought,  but World War IV will be fought with sticks and stones.  You know, I mean, it's  a dangerous world.  I don't know if you've been following this,  Warren, but what do you think of Elon Musk's  behavior as a CEO? "
143,0:48:08,0:48:10,BUFFETT," Well, I think it has room for improvement. "
144,0:48:11,0:48:12,SPEAKER 2," Now,  he,  he, and he would say the same thing.  I mean, it's just some people have  a talent for interesting quotes and others,  others have a little bit more of a blocker up there that says this can get me in a problem.  And,  but he's,  he's a remarkable guy,  but I don't see,  I just don't see the necessity  to communicate.  You know, I've never,  I think I've got seven tweets because a friend of  mine signed me up for it and she's called me about a hundred times,  say, can I tweet this or that?  And I said yes to her seven times,  I guess, or something like that.  I've never actually written one myself.  I don't even know how to do it.  Have you talked to Elon ever? "
147,0:49:01,0:49:13,BUFFETT," He joined the giving pledge.  So once or twice,  but that's a lot of years ago,  you know, seven or eight years ago.  I'm not,  he hasn't come to our annual gatherings,  so I haven't seen  him for seven or eight years. "
148,0:49:14,0:49:28,SPEAKER 2," So let's talk about this,  this trade war that's been going on a little bit with China.  And I guess I'd like to ask you,  do you think that Donald Trump was right in calling out  the Chinese government and basically putting them on notice? "
149,0:49:28,0:50:04,BUFFETT," I won't have any comment on,  on, on, on that.  In  terms of political activity,  I don't put my citizenship in a blind,  blind trust.  So when the election comes around,  I'll, I'll do something.  On the other hand,  people will interpret things I say about any,  any president,  you know, as to some extent coming from Berkshire  and they, and they don't come from Berkshire.  I'm just an individual.  So I,  I, I, you know, I think I'm glad to talk about China,  but I can't, I can't talk to you about that part of it. "
150,0:50:04,0:50:10,SPEAKER 2," Fair enough.  I mean, do you think there was  room for improvement then in terms of the trade relationship between China and the United   States?  Well, I think that  China and the United States  absolutely are destined to be the superpowers, you know,  beyond my great-grandchildren lives.  And we'll always  have, be competitors and we'll be competitors in business,  we'll be competitors in ideas,  all kinds of ways.  And  there's no other way it would be.  And we just have to make sure that that  competition doesn't  get,  get us to a point where we don't realize that the best world is one in which both the United States and China prosper.  I mean, we do not want to have an island of prosperity in the rest of the world,  envious of us  in a, in a nuclear age.  And, and China doesn't,  Russia doesn't, I mean, we all recognize the dangers of letting  competition get out of control and, and, and become,  you can, you can be competitors without being enemies.  And, and that's,  that's what  all powerful nations have to realize over  time.  I mean, it's different than 200 years ago when you could have  some dominant country and then they may have done some things that you didn't like,  but it didn't threaten the existence of the world.  You really threaten the existence of the world as we know it.  If  important countries do not constantly recognize that they can compete,  they can fight over  certain things, but they can't regard it as  essentially the equivalent of war.  Here's a question from Kevin Chen,  who is a Berkshire shareholder and an NYU professor.  And he says, and this is sort of along the lines of what you were just saying,  Warren, but do you think that U.S.  and China will be able to resolve their differences or are conflicts unavoidable? "
155,0:52:04,0:52:48,BUFFETT," Well, I don't think conflicts are unavoidable, but I think,  I think  it has to be  active thinking on the part of  every hugely powerful country.  And Russia is hugely powerful.  I mean, 90% of the nuclear arms in the world are between U.S.  and Russia.  So they, they have to recognize that  the best world for them is one where they don't try and grab all the apples basically.  And we have to recognize that.  And, and we can't,  in the United States,  we can't think that either our ideas run the world,  you know, or we started getting aggressive about things  and China can't think that Russia can't think that.   And,  and that's obvious.  You just have to make things,  you got to be sure things don't escalate.  You know, you have World War I,  you know, with an Archduke, you know, I mean, you get,  you get these,  you can get chance incidents and you really want to,  I asked one of the presidents one time,  you know, in terms of what he would do if awakened in the middle of the night with  somebody coming to him and saying,  absolutely,  you know, somebody else had launched,  you know,  would you launch on that?  And you've got  10 minutes to decide.  I wouldn't want to have that responsibility,  but, but you want to make sure you don't get to that point."
158,0:53:29,0:53:37,SPEAKER 2," Right, right.  Would you ever make a big acquisition in China?  And if not, aren't you missing a huge  portion of the world? "
159,0:53:37,0:53:39,BUFFETT," Yeah, the answer is we would.  Yeah, we would. "
160,0:53:39,0:53:40,SPEAKER 2, Have you looked?
161,0:53:41,0:53:44,BUFFETT," We've been made aware of some things, yeah. "
162,0:53:45,0:53:52,SPEAKER 2," Are you concerned on the flip side of the coin?  Are you concerned that the rule of law is different,  that the accounting might be opaque? "
163,0:53:53,0:54:57,BUFFETT," Well,  I'd want to be sure I understood the accounting,  obviously, some businesses that'd be easier to do than others, but,  but  I know the laws,  the customs,  the accounting,  the people better in the United States than any place else.  So there's some small hurdle in,  in many countries to get over,  which I can get over.  I mean, but I, but I just don't,  it's just not as easy as looking at something where I already know the answer,  you know, from previous transactions or something of the sort.  So,  so it, it's easier to make a big acquisition in the United States.  I have to do more work  if I'm looking beyond the borders,  but I love the idea of doing it.  When we made the acquisition in Israel a dozen years ago,  you know, I didn't know what the tax  rates were there.  I didn't, I didn't know what corporate law,  you know, I was,  I, I suspected that it would all be answered satisfactorily,  which it was, but  I didn't just automatically know it. "
164,0:54:58,0:55:03,SPEAKER 2," It seems like you're more open about doing a deal in China than in previous conversations.   I don't think so.  No, I,  no,  I, I'm open.  Yeah. "
169,0:55:11,0:55:18,BUFFETT," We made,  you know, we made  two decent sized stock acquisitions there and they worked out fine. "
170,0:55:18,0:55:18,SPEAKER 2, Those are?
171,0:55:19,0:55:20,BUFFETT," Well, Petro China and BYD. "
172,0:55:20,0:55:21,SPEAKER 2," BYD, yes. "
173,0:55:21,0:55:24,BUFFETT," Yeah, BYD was Charlie's, but Charlie's very well-versed on China. "
174,0:55:25,0:55:35,SPEAKER 2," Right.  Yeah.  The, the trade, the U.S.  trade deficit has been widening and of course a lot of that  has to do with our trade with  China.  Is that something that worries you? "
175,0:55:36,0:56:53,BUFFETT," Well, I wrote an article about it for Fortune and the trade situation many years ago when,  when our deficit got to be  large in relation to GDP.  I don't think it's,  I don't think it's essential to have a trade balance,  but I, I think that if a trade deficit gets large  and, and it looks like you have no way out from it,  that that can be a real problem over time.  I mean, you're, you know, you're, you're shipping little pieces of paper to the rest of the world and they're shipping you goods.  I mean, people are working, making underwear or shoes someplace and they get little pieces of paper from us.  And it gets very tempting if you've done that enough to make sure that those little pieces of paper aren't worth very much over time when they want to cash them for something.  So you don't want to have,  we don't have any problem running trade deficits,  but, but if we ran really large ones and we sort of worked ourselves into a box where they were,  we didn't really have a solution to get the numbers down,  it could be a problem.  And I wrote about it one time,  but it's, it's kind of a nice thing actually.  Just, I mean, wouldn't you like to have something where you just send out little pieces of paper and somebody keep supplying you with their food or your,  you know, whatever. "
176,0:56:53,0:56:54,SPEAKER 2, I'm living it.
177,0:56:54,0:56:55,BUFFETT, You're all right.   Exactly.  And we call them credit cards in the United States.
180,0:56:57,0:57:15,SPEAKER 2," Exactly.  Yes.  Yes.  Okay.  And last question,  China's facing its slowest growth in nearly three decades.  The leadership there lower the targets,  I think to around 6.5%, 6%.  Are you concerned about this slowing growth and the impact on global markets?  Well,  I don't worry about in terms of global markets.  I mean, China's going to grow a lot over time.  I mean, they,  when you think of what's happened,  oh, this is 1949 or where, you know, but  there's been nothing really like it.  I mean, you had 20% of the  world's population at that time, perhaps,  really hadn't remotely achieved their potential.  I mean, the intellectual capacity, they had  decent soil, all kinds of things.  I mean, and, and, and,  and what's happened there almost is beyond belief and, and  that game's not over, but we've had  incredible developments in the United States.  I mean, you know,  real GDP per capita is six times  what it was the day I was born in the United States,  six times.  And we thought we were  a pretty developed country then and everything.  No, my parents wouldn't have believed it.  I mean, they, they would have thought,  you know, that this  kid has really got it made,  you know, I was born in the United States and it was true.  I mean, we had this tailwind  and, and China's had a hurricane behind it,  you know, in the, in recent decades.  In a good way. "
183,0:58:28,0:58:29,BUFFETT, Absolutely.
184,0:58:29,0:58:32,SPEAKER 2, Because you were comparing it to the tailwind of the hurricane at your back.
185,0:58:32,0:59:16,BUFFETT," Yeah, at their back.  And, and, and they've,  they have found a way of life that is dramatically different  than existed for the billion,  there was a billion then,  maybe, maybe a billion, two or three, whatever it is now.  And, and  they have changed  a  country really of size  that's, I don't think there's ever been anything like it.  We've done it too,  but it took, it took, it took so much longer.  I mean, it was more stretched out.  It was a remarkable period, but,  but  you know, when you go to,  I first went there in 1995 and then they regarded  it as a miracle.  And then I went back 10 years later,  it was a whole different country beyond that. "
186,0:59:17,0:59:23,SPEAKER 2," Warren Buffett, thanks so much for joining us.  I'm Andy Serwer.  You've been watching Influencers.  We'll see you next time. "
